"Date,Price"		
","		
"19/05/2011,""£70,000 """		
","		
","		
","		
"05/01/2011,""£141,000.00 """		
","		
","		
","		
","		
"23/02/2011,""£130,000.00 """		
","		
","		
"28/04/2011,""£165,000.00 """		
","		
","		
"18/05/2011,""£107,000.00 """		
","		
","		
","		
"02/02/2011,""£350,000.00 """		
","		
","		
"04/04/2011,""£85,000.00 """		
","		
","		
","		
"20/04/2011,""£59,000.00 """		
","		
","		
","		
"04/04/2011,""£59,000.00 """		
","		
","		
","		
"01/04/2011,""£57,000.00 """		
","		
","		
","		
"20/05/2011,""£59,000.00 """		
","		
","		
","		
"28/02/2012,""£68,000.00 """		
","		
","		
","		
"08/05/2012,""£115,000 """		
","		
","		
","		
"08/02/2012,""£125,000 """		
","		
","		
","		
"18/01/2012,""£45,000.00 """		
","		
","		
"14/03/2012,""£115,000.00 """		
","		
","		
","		
"06/03/2012,""£30,000 """		
","		
","		
"06/03/2012,""£30,000 """		
","		
","		
"06/03/2012,""£30,000 """		
","		
","		
"30/04/2012,""£96,117 """		
","		
","		
","		
"27/06/2012,""£86,000 """		
","		
","		
"24/05/2012,""£106,250 """		
","		
","		
","		
"02/02/2012,""£68,000.00 """		
","		
","		
"18/04/2012,""£215,000 """		
","		
","		
"14/05/2013,""£48,500 """		
","		
","		
","		
"03/06/2013,""£70,000 """		
","		
","		
","		
"23/01/2013,""£95,000 """		
","		
","		
","		
"07/01/2013,""£135,000 """		
","		
","		
","		
"14/02/2013,""£87,000 """		
","		
","		
","		
"10/01/2013,""£79,000 """		
","		
","		
","		
"27/02/2013,""£83,500 """		
","		
","		
","		
"04/01/2013,""£115,600 """		
","		
","		
","		
"22/02/2013,""£64,001 """		
","		
","		
"16/01/2014,""£110,500 """		
","		
","		
","		
"05/02/2014,""£121,000 """		
","		
","		
","		
"01/04/2014,""£98,000 """		
","		
","		
","		
"05/06/2014,""£110,000 """		
","		
","		
","		
"24/04/2014,""£30,000 """		
","		
","		
"01/04/2014,""£102,000 """		
","		
","		
"26/03/2014,""£52,000 """		
","		
","		
","		
"07/05/2014,""£83,000 """		
","		
","		
","		
"11/02/2014,""£65,500 """		
","		
","		
","		
"17/03/2014,""£68,500 """		
","		
","		
","		
"28/01/2014,""£175,000 """		
","		
","		
"21/05/2014,""£96,500 """		
","		
","		
","		
"27/06/2014,""£137,000 """		
","		
","		
"18/02/2014,""£63,000 """		
","		
","		
","		
"19/03/2014,""£91,000 """		
","		
","		
","		
"17/06/2014,""£57,000 """		
","		
","		
"05/05/2014,""£95,000 """		
","		
","		
","		
"14/04/2014,""£102,000 """		
","		
","		
14/10/2011	"£52,000 "	
		
		
06/07/2011	"£100,000.00 "	
		
		
		
18/07/2011	"£96,000.00 "	
		
		
		
10/10/2011	"£86,000 "	
		
		
		
24/08/2011	"£117,000.00 "	
		
		
		
23/12/2011	"£115,000.00 "	
		
		
		
21/09/2011	"£65,000.00 "	
		
		
27/07/2011	"£150,000.00 "	
		
		
23/09/2011	"£128,000.00 "	
		
		
16/12/2011	"£113,000 "	
		
		
		
10/08/2011	"£65,000.00 "	
		
		
		
14/12/2011	"£1,704,138.00 "	
		
		
19/09/2011	"£70,000 "	
		
		
		
04/08/2011	"£52,500.00 "	
		
		
		
03/08/2011	"£75,000.00 "	
		
		
		
09/08/2011	"£61,000.00 "	
		
		
		
06/07/2011	"£40,000.00 "	
		
		
